station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,status,last_refresh
112,0,2,18,0,2024-04-23 19:55:22,IN_SERVICE,2024-04-23 22:58:01.803874
114,1,0,11,0,2024-04-23 19:57:18,IN_SERVICE,2024-04-23 22:58:01.803874
116,4,4,4,0,2024-04-23 19:56:54,IN_SERVICE,2024-04-23 22:58:01.803874
117,0,1,19,0,2024-04-23 19:56:41,IN_SERVICE,2024-04-23 22:58:01.803874
118,0,2,18,0,2024-04-23 19:55:55,IN_SERVICE,2024-04-23 22:58:01.803874
120,5,1,14,0,2024-04-23 19:55:59,IN_SERVICE,2024-04-23 22:58:01.803874
121,3,5,12,0,2024-04-23 19:56:56,IN_SERVICE,2024-04-23 22:58:01.803874
122,3,0,21,0,2024-04-23 19:55:35,IN_SERVICE,2024-04-23 22:58:01.803874
124,5,3,12,1,2024-04-23 19:56:31,IN_SERVICE,2024-04-23 22:58:01.803874
126,7,6,2,0,2024-04-23 19:57:19,IN_SERVICE,2024-04-23 22:58:01.803874
128,0,2,26,0,2024-04-23 19:55:58,IN_SERVICE,2024-04-23 22:58:01.803874
130,19,3,18,0,2024-04-23 19:57:29,IN_SERVICE,2024-04-23 22:58:01.803874
131,1,4,11,0,2024-04-23 19:56:06,IN_SERVICE,2024-04-23 22:58:01.803874
132,0,0,12,0,2024-04-23 19:56:27,IN_SERVICE,2024-04-23 22:58:01.803874
134,4,5,3,0,2024-04-23 19:55:25,IN_SERVICE,2024-04-23 22:58:01.803874
135,0,4,16,0,2024-04-23 19:57:23,IN_SERVICE,2024-04-23 22:58:01.803874
137,0,4,20,0,2024-04-23 19:56:26,IN_SERVICE,2024-04-23 22:58:01.803874
138,2,2,8,0,2024-04-23 19:55:43,IN_SERVICE,2024-04-23 22:58:01.803874
144,2,1,17,0,2024-04-23 19:57:21,IN_SERVICE,2024-04-23 22:58:01.803874
146,2,0,18,0,2024-04-23 19:55:28,IN_SERVICE,2024-04-23 22:58:01.803874
147,0,0,0,0,,END_OF_LIFE,2024-04-23 22:58:01.803874
148,14,2,0,0,2024-04-23 19:56:54,IN_SERVICE,2024-04-23 22:58:01.803874
149,0,1,15,0,2024-04-23 19:56:12,IN_SERVICE,2024-04-23 22:58:01.803874
150,14,2,20,0,2024-04-23 19:57:11,IN_SERVICE,2024-04-23 22:58:01.803874
152,9,0,19,0,2024-04-23 19:55:54,IN_SERVICE,2024-04-23 22:58:01.803874
153,6,0,14,0,2024-04-23 19:56:39,IN_SERVICE,2024-04-23 22:58:01.803874
155,8,4,0,0,2024-04-23 19:55:18,IN_SERVICE,2024-04-23 22:58:01.803874
156,5,3,12,0,2024-04-23 19:57:19,IN_SERVICE,2024-04-23 22:58:01.803874
